"Core Project Number","ClinicalTrials.gov ID","Study","Study Status",
"R01AA011210","NCT00000437","Tobacco Dependence in Alcoholism Treatment (Nicotine Patch/Naltrexone)","COMPLETED",
"R01AA011855","NCT00000438","Naltrexone Treatment for Alcoholism","COMPLETED",
"R01AA012028","NCT00000451","Drug Therapy for Alcohol Dependence in Alaska Natives (Naltrexone/Sertraline)","COMPLETED",
"R01HL041786","NCT00000470","Infant Heart Surgery: Central Nervous System Sequelae of Circulatory Arrest","COMPLETED",
"P01HL030086","NCT00000512","Familial Atherosclerosis Treatment Study","COMPLETED",
"R01HL045167","NCT00000532","Women's Healthy Lifestyle Project: Cardiovascular Risk Factors and Menopause","COMPLETED",
"U01HL062514","NCT00000548","Inhaled NO in Prevention of Chronic Lung Disease","COMPLETED",
"U01HL053149","NCT00000550","Rapid Early Action for Coronary Treatment (REACT)","COMPLETED",
"R01HL049546","NCT00000553","HDL-Atherosclerosis Treatment Study (HATS)","COMPLETED",
"U10HL051823","NCT00000577","Asthma Clinical Research Network (ACRN)","WITHDRAWN",
"U10HL051834","NCT00000577","Asthma Clinical Research Network (ACRN)","WITHDRAWN",
"U10HL074073","NCT00000577","Asthma Clinical Research Network (ACRN)","WITHDRAWN",
"U10HL074204","NCT00000577","Asthma Clinical Research Network (ACRN)","WITHDRAWN",
"U10HL074227","NCT00000577","Asthma Clinical Research Network (ACRN)","WITHDRAWN",
"M01RR000645","NCT00000617","Azithromycin and Coronary Events Study (ACES)","COMPLETED",
"N01HC095184","NCT00000620","Action to Control Cardiovascular Risk in Diabetes (ACCORD)","COMPLETED",
"U01AI068636","NCT00001137","Long-Term Data Collection From Participants in Adult AIDS Clinical Trials","COMPLETED",
"P30CA008748","NCT00002558","Combination Chemotherapy Plus Peripheral Stem Cell Transplantation in Treating Patients With Germ Cell Tumors","COMPLETED",
"U10CA032102","NCT00002563","SWOG-9208 Quality of Life and Health Status in Patients With Stage I or Stage II Hodgkin's Disease","COMPLETED",
"U10CA032102","NCT00002571","SWOG-9320 Combination Chemotherapy, Radiation Therapy, and Antiviral Therapy in Treating Patients With AIDS-Related Lymphoma","COMPLETED",
"P30CA033572","NCT00002601","Combination Chemotherapy and Peripheral Stem Cell Transplantation in Treating Patients With Sarcoma","COMPLETED",
"U01CA062502","NCT00002604","O(6)-Benzylguanine and Carmustine in Treating Patients With Solid Tumors","COMPLETED",
"U10CA031946","NCT00002624","Video-Assisted Surgery Followed by Radiation Therapy in Treating Patients With Stage I Non-small Cell Lung Cancer and Poor Heart and Lung Function","COMPLETED",
"P30CA008748","NCT00002663","Biological Therapy in Treating Patients at High-Risk or With Lymphoma, Lymphoproliferative Disease, or Malignancies","COMPLETED",
"U10CA021115","NCT00002668","Pain Control in Patients With Recurrent or Metastatic Breast or Prostate Cancer","TERMINATED",
"U10CA031946","NCT00002723","Low, Intermediate, or High Dose Suramin in Treating Patients With Hormone-Refractory Prostate Cancer","COMPLETED",
"P30CA021765","NCT00002748","Gene Therapy in Treating Children With Refractory or Recurrent Neuroblastoma","COMPLETED",
"U10CA031946","NCT00002768","Chemotherapy Plus Peripheral Stem Cell Transplantation in Treating Patients With Acute Myeloid Leukemia in Second Remission","COMPLETED",
"P30CA016059","NCT00002818","High-Dose Cytarabine Plus Deoxycytidine in Treating With Acute Myelogenous Leukemia or Other Hematologic Malignancies","COMPLETED",
"P30CA016672","NCT00002832","Decitabine and Peripheral Stem Cell Transplantation in Treating Patients Who Have Relapsed Following Bone Marrow Transplantation for Leukemia, Myelodysplastic Syndrome, or Chronic Myelogenous Leukemia","COMPLETED",
"P30CA016672","NCT00002837","High-Dose Combination Chemotherapy and Peripheral Stem Cell Transplantation in Treating Patients With Breast Cancer","COMPLETED",
"U10CA032102","NCT00002860","SWOG-9430: Surgery in Treating Patients With Metastatic Melanoma","COMPLETED",
"U01CA062487","NCT00002923","KRN5500 in Treating Patients With Metastatic Solid Tumors","COMPLETED",
"P30CA008748","NCT00002930","PET Scan in Patients With Lung and Esophageal Cancers That May Be Removed by Surgery","COMPLETED",
"U10CA032102","NCT00002969","S9714: Paclitaxel in Treating Patients With Stage IIIB or Stage IV Non-small Cell Lung Cancer","COMPLETED",
"U10CA032102","NCT00002999","S9715, Chemotherapy and Radiation Therapy in Treating Patients With Advanced Cancer of the Nasopharynx","WITHDRAWN",
"P30CA033572","NCT00003042","Chemotherapy and Stem Cell Transplantation in Treating Patients With Stage IIIB Breast Cancer","ACTIVE, NOT RECRUITING",
"P30CA006927","NCT00003109","Irinotecan Plus Raltitrexed in Treating Patients With Refractory Solid Tumors","COMPLETED",
"P30CA043703","NCT00003110","Bleomycin in Treating Patients With Non-Hodgkin's Lymphoma","COMPLETED",
"U10CA032102","NCT00003127","S9720 Combination Chemotherapy in Treating Patients With Metastatic, Recurrent, or Refractory Endometrial Cancer","COMPLETED",
"U10CA021115","NCT00003138","Erythropoietin (EPO)+/- Filgrastim (G-CSF) vs. Supportive Therapy Alone for Patients With Myelodysplastic Syndromes","COMPLETED",
"U10CA025224","NCT00003140","Letrozole After Tamoxifen in Treating Women With Breast Cancer","COMPLETED",
"U01CA063200","NCT00003154","Chemotherapy in Treating Patients With Advanced Non-small Cell Lung Cancer","COMPLETED",
"P30CA022453","NCT00003171","Bryostatin 1 in Treating Patients With Myelodysplastic Syndrome","COMPLETED",
"P30CA015704","NCT00003196","Low-Dose Total Body Irradiation and Donor Peripheral Blood Stem Cell Transplant Followed by Donor Lymphocyte Infusion in Treating Patients With Non-Hodgkin Lymphoma, Chronic Lymphocytic Leukemia, or Multiple Myeloma","COMPLETED",
"U01CA062475","NCT00003248","Fludarabine and Monoclonal Antibody Therapy in Treating Patients With Untreated B-cell Chronic Lymphocytic Leukemia","COMPLETED",
"P30CA006927","NCT00003263","Cisplatin, Interferon Alfa, Surgery, and Radiation Therapy in Treating Patients With Malignant Pleural Mesothelioma","COMPLETED",
"U10CA031946","NCT00003299","Cisplatin Plus Etoposide With or Without Paclitaxel in Treating Patients With Extensive-Stage Small Cell Lung Cancer","COMPLETED",
"U10CA031946","NCT00003317","Combination Chemotherapy With or Without Radiation Therapy in Treating Patients With Stage IIIA Non-small Cell Lung Cancer","COMPLETED",
"P30CA016087","NCT00003332","Combination Chemotherapy Followed by Chemotherapy and Radiation Therapy and/or Surgery in Treating Patients Who Have Pancreatic Cancer","COMPLETED",
"U10CA032102","NCT00003369","S9717 Tirapazamine Plus Cisplatin in Treating Patients With Metastatic, Recurrent, or Refractory Cervical Cancer","COMPLETED",
"U10CA032102","NCT00003416","S9805, High-Dose Melphalan Plus Peripheral Stem Cell Transplantation Followed by Interferon Alfa in Treating Patients With Waldenstrom's Macroglobulinemia","COMPLETED",
"U01CA070172","NCT00003441","Irofulven in Treating Patients With Metastatic Colorectal Cancer","COMPLETED",
"P30CA016087","NCT00003548","Aminocamptothecin in Treating Patients With Advanced Cancer of the Peritoneal Cavity","COMPLETED",
"P30CA006973","NCT00003561","Interferon Alfa Plus Sargramostim in Treating Patients With Newly Diagnosed Chronic Phase Chronic Myelogenous Leukemia","TERMINATED",
"P30CA046592","NCT00003598","UMCC 9609 Tretinoin in Preventing Cancer of the Cervix in Patients With Cervical Neoplasia","COMPLETED",
"U01CA062502","NCT00003613","O6-benzylguanine and Carmustine in Treating Patients With Stage IA-IIA Cutaneous T-cell Lymphoma","TERMINATED",
"P30CA016672","NCT00003645","Randomized Trial of Adjuvant Hormonal Therapy in Surgically Treated Prostate Cancer Patients at High Risk for Recurrence","TERMINATED",
"P30CA016056","NCT00003662","Umbilical Cord Blood Transplantation in Treating Patients With Hematologic Cancer or Other Hematologic or Metabolic Diseases","COMPLETED",
"U10CA031946","NCT00003666","Irofulven in Treating Patients With Relapsed or Refractory Non-small Cell Lung Cancer","COMPLETED",
"U10CA031946","NCT00003675","Topotecan in Treating Patients With Myelodysplastic Syndrome","COMPLETED",
"P30CA016672","NCT00003677","Dolastatin 10 in Treating Patients With Metastatic Pancreatic Cancer","COMPLETED",
"U01CA069912","NCT00003690","Flavopiridol Plus Cisplatin or Carboplatin in Treating Patients With Advanced Solid Tumors","COMPLETED",
"P30CA016672","NCT00003693","Dolastatin 10 in Treating Patients With Refractory or Relapsed Acute Leukemia, Myelodysplastic Syndrome, or Chronic Myelogenous Leukemia","COMPLETED",
"U10CA031946","NCT00003694","Homoharringtonine Plus Low-Dose Cytarabine in Treating Patients With Newly Diagnosed Chronic Myelogenous Leukemia in Chronic Phase","COMPLETED",
"P30CA054174","NCT00003707","Combination Chemotherapy in Treating Patients With Advanced Cancer","COMPLETED",
"P30CA054174","NCT00003721","Chemotherapy in Treating Patients With Advanced Solid Tumors","COMPLETED",
"U10CA032102","NCT00003723","S9810: Gemcitabine Plus Cisplatin in Treating Patients With Malignant Mesothelioma of the Pleura That Cannot Be Removed by Surgery","COMPLETED",
"P30CA016042","NCT00003748","Irinotecan in Treating Patients With Esophageal or Stomach Cancer","COMPLETED",
"U10CA021115","NCT00003799","Chemotherapy, Radiation Therapy, and Surgery in Treating Patients With Locally Advanced Rectal Cancer","COMPLETED",
"U10CA021115","NCT00003800","Diagnostic Study of Patients With Stage I Testicular Cancer","COMPLETED",
"P30CA006973","NCT00003802","Pyrazoloacridine in Treating Patients With Metastatic Skin or Eye Melanoma","COMPLETED",
"U10CA031946","NCT00003835","Combination Chemotherapy in Treating Patients With Stage III Colon Cancer","COMPLETED",
"P30CA013330","NCT00003867","Irinotecan and Capecitabine in Treating Patients With Solid Tumors","COMPLETED",
"U01CA097452","NCT00003909","Motexafin Gadolinium Plus Radiation Therapy in Treating Children With Newly Diagnosed Brain Stem Glioma","COMPLETED",
"P30CA006973","NCT00003961","Sargramostim After Bone Marrow Transplantation in Treating Patients With Myelodysplastic Syndrome","COMPLETED",
"P01CA015396","NCT00003962","Interleukin-2 Following Bone Marrow Transplantation in Treating Patients With Hematologic Cancer","COMPLETED",
"P30CA016042","NCT00003963","Chemotherapy and Monoclonal Antibody Therapy in Treating Patients With B-cell Non-Hodgkin's Lymphoma That Has Relapsed Following Peripheral Stem Cell Transplantation","COMPLETED",
"P30CA021765","NCT00004006","Combination Chemotherapy, Radiation Therapy, and Bone Marrow Transplantation in Treating Patients With Retinoblastoma","COMPLETED",
"P30CA043703","NCT00004014","Liposomal Doxorubicin in Treating Patients With Prostate Cancer","COMPLETED",
"P30CA022453","NCT00004022","Biological Therapy Following Surgery in Treating Patients With Stage III or Stage IV Melanoma","COMPLETED",
"U10CA032102","NCT00004031","SWOG-9704 Chemoradiotherapy and Peripheral Stem Cell Transplantation Compared With Combination Chemotherapy in Treating Patients With Non-Hodgkin's Lymphoma","COMPLETED",
"U01CA063265","NCT00004092","Combination Chemotherapy in Treating Patients With High-Risk Breast Cancer","COMPLETED",
"P30CA016672","NCT00004136","Heat Therapy in Treating Patients With Unresectable Primary or Metastatic Liver Cancer","COMPLETED",
"P30CA016672","NCT00004142","Radiofrequency Ablation Followed By Hepatic Artery Chemotherapy in Treating Patients With Colorectal Cancer That Has Spread to the Liver","COMPLETED",
"P30CA036727","NCT00004197","Vaccine Therapy Plus Sargramostim Following Chemotherapy in Treating Patients With Previously Untreated Aggressive Non-Hodgkin's Lymphoma","COMPLETED",
"P30CA033572","NCT00004220","Oxaliplatin and Gemcitabine in Treating Patients With Advanced Cancer","COMPLETED",
"U10CA027469","NCT00004221","Combination Chemotherapy and Peripheral Stem Cell Transplantation in Treating Patients With Stage III Ovarian Cancer","TERMINATED",
"U01CA076576","NCT00004262","Radiation Therapy and Gadolinium Texaphyrin in Treating Patients With Supratentorial Glioblastoma Multiforme","COMPLETED",
"U01CA062461","NCT00004263","Cytarabine and UCN-01 in Treating Patients With Refractory or Relapsed Acute Myelogenous Leukemia or Myelodysplastic Syndrome","COMPLETED",
"U01DK049241","NCT00004285","Effect of Dialysis Dose and Membrane Flux in Maintenance Hemodialysis","COMPLETED",
"U01DK049249","NCT00004285","Effect of Dialysis Dose and Membrane Flux in Maintenance Hemodialysis","COMPLETED",
"U01DK049271","NCT00004285","Effect of Dialysis Dose and Membrane Flux in Maintenance Hemodialysis","COMPLETED",
"R01AA011890","NCT00004551","Behavioral Counseling for Alcohol Dependent Smokers (Nicotine Patch)","COMPLETED",
"M01RR002558","NCT00004572","Identification and Therapy Efficacy of Type 2 Diabetes in Hispanic Patients","UNKNOWN STATUS",
"M01RR000069","NCT00004637","Double-Blind, Placebo-Controlled Trial of Vitamin E as Add-on Therapy for Children With Epilepsy","COMPLETED",
"R01NS033430","NCT00004727","Antiplatelet Therapy to Prevent Stroke in African Americans","COMPLETED",
"R01NS034447","NCT00004734","Vitamin Therapy for Prevention of Stroke","COMPLETED",
"U10CA031946","NCT00004856","Trastuzumab in Treating Patients With Previously Treated, Locally Advanced, or Metastatic Cancer of the Urothelium","TERMINATED",
"R01CA067803","NCT00004871","Azacitidine Plus Phenylbutyrate in Treating Patients With Acute Myeloid Leukemia or Myelodysplastic Syndrome","COMPLETED",
"P30CA036727","NCT00004874","Monoclonal Antibody Therapy in Treating Patients With Non-Hodgkin's Lymphoma","TERMINATED",
"P30CA016042","NCT00004889","Rituximab in Treating Patients With Waldenstrom's Macroglobulinemia","COMPLETED",
"U01CA097452","NCT00004919","Irinotecan and Cisplatin With or Without Amifostine in Treating Children With Solid Tumors That Have Not Responded to Previous Therapy","COMPLETED",
"U10CA012027","NCT00004931","Fluorouracil Plus Leucovorin With or Without Oxaliplatin in Treating Patients With Stage II or Stage III Colon Cancer","COMPLETED",
"R01DK048160","NCT00004983","Education and Group Support for Diabetic Hispanics","COMPLETED",
"U01DK060916","NCT00004984","The Diabetes Prevention Trial of Type 1 Diabetes (DPT-1)","COMPLETED",
"U01DK061029","NCT00004984","The Diabetes Prevention Trial of Type 1 Diabetes (DPT-1)","COMPLETED",
"U10CA032102","NCT00005047","4B951, Combination Chemotherapy in Treating Patients With Bladder Cancer","TERMINATED",
"M01RR000051","NCT00005107","Role of Nitric Oxide in Cirrhosis: Relationship With Systemic Hemodynamics, Renal Function, Vasoactive Systems and Endotoxemia","UNKNOWN STATUS",
"U01HL056564","NCT00005136","Family Heart Study (FHS)","COMPLETED",
"R01HL034594","NCT00005152","Nurses' Health Study (Cardiovascular Component)","ACTIVE, NOT RECRUITING",
"R01HL039107","NCT00005209","Genetic Epidemiology of Coronary Heart Disease","COMPLETED",
"R01HL044199","NCT00005260","Mechanisms Underlying Psychosocial Associations With Ischemic Heart Disease (Kuopio)","COMPLETED",
"P01HL030086","NCT00005313","Human Lipoprotein Pathophysiology - Subproject: Genetics of Familial Combined Hyperlipidemia","COMPLETED",
"R01HL043201","NCT00005332","Antihypertensive Drug/Gene Interactions and CV Events","COMPLETED",
"R01HL044413","NCT00005333","Epidemic Hypertension in Nigerian Workers","COMPLETED",
"R01HL048341","NCT00005359","Genetics of Asthma and Bronchial Hyperresponsiveness","COMPLETED",
"R01HL053392","NCT00005391","Pediatric Cardiomyopathy Registry","COMPLETED",
"R01HL054280","NCT00005395","Honolulu Heart Program-Study of Stroke and Dementia","COMPLETED",
"R01HL055356","NCT00005398","University of North Carolina Alumni Heart Study","ACTIVE, NOT RECRUITING",
"R01HL055812","NCT00005400","Angiotensinogen Variants and Adverse Pregnancy Outcomes","COMPLETED",
"R29HL054874","NCT00005447","Physical Activity and Cardiovascular Disease Prevention","COMPLETED",
"R01HL045157","NCT00005461","Epidemiology of Symptom Perception in Childhood Asthma","COMPLETED",
"R01HL052911","NCT00005470","Divergence of Blood Pressure By Race in Adolescent Girls","COMPLETED",
"R01HL056177","NCT00005475","Longitudinal Study of Asthma From Birth to Adulthood","COMPLETED",
"R01HL056622","NCT00005476","Sociodemographic Regulation of Cardiovascular Function and Structure","COMPLETED",
"R01HL058240","NCT00005490","Modeling DNA Diversity in Cardiovascular Health/Disease","COMPLETED",
"R03HL058476","NCT00005493","Observational Aspirin Use and CVD in the Physicians' Health Study","COMPLETED",
"R01HL058867","NCT00005498","Do Hostility and Stress Predict Cardiovascular Mortality in MRFIT?","COMPLETED",
"R01HL059503","NCT00005506","Vascular Disease--Structure/Function","COMPLETED",
"R01HL060739","NCT00005515","Mutations, Hormone Therapy (HRT) and Venous Thromboembolism","COMPLETED",
"R01HL060957","NCT00005516","Epidemiology of Sleep Disordered Breathing in Children","COMPLETED",
"R01HL059659","NCT00005525","Sleep Apnea in Elderly Male Twins","COMPLETED",
"R29HL053798","NCT00005530","Diet, Insulin Resistance, and Cardiovascular Risk","COMPLETED",
"R01HL054306","NCT00005531","Genetic Epidemiology of Sarcoidosis","COMPLETED",
"R01HL054727","NCT00005532","Dietary Fat, Plasma Lipids, and Other CHD Risk Factors","COMPLETED",
"R01HL056266","NCT00005536","Genetic Analysis of Human Hypertensive End Stage Renal Disease (H-ESRD)","COMPLETED",
"R03HL062686","NCT00005551","Sleep Apnea in a Non-Clinical Population","COMPLETED",
"R29HL056901","NCT00005556","Retention of Bone Marrow Donors in a National Registry","COMPLETED",
"R01HL062373","NCT00005560","Prevalence and Correlates of Childhood Sleep Apnea","COMPLETED",
"M01RR006022","NCT00005567","Parental Knowledge and Beliefs About Infant Sleep Position","COMPLETED",
"P30CA043703","NCT00005593","Fludarabine, Carboplatin, and Topotecan in Treating Patients With Relapsed/Refractory Acute Leukemia or Advanced Myelodysplastic Syndrome","COMPLETED",
"U10CA032102","NCT00005597","S9926 Temozolomide in Patients With Unresectable/Metastatic Gastrointestinal Stromal Tumors","COMPLETED",
"U01CA062502","NCT00005647","SU5416 and Paclitaxel in Treating Patients With Recurrent, Locally Advanced or Metastatic Cancer of the Head and Neck","COMPLETED",
"R01HL064738","NCT00005676","High Density Lipoprotein Subspecies and Coronary Disease","COMPLETED",
"U01HL033292","NCT00005677","Percutaneous Transluminal Coronary Angioplasty (PTCA) Registries I, II, and III and the Dynamic Registry","COMPLETED",
"R01HL031533","NCT00005685","Blood Pressure Control--Racial and Psychosocial Influences","COMPLETED",
"R01HL068654","NCT00005735","Controlling Asthma at School","COMPLETED",
"R29HL056127","NCT00005743","Exercise Adherence in a Behavioral Weight Loss Program","COMPLETED",
"R01HL060040","NCT00005751","Endothelial Vasomotor Function in the Framingham Study","COMPLETED",
"R03HL060749","NCT00005752","Overweight Adults--Ethnic, SES and Behavioral Influences","COMPLETED",
"R29HL059387","NCT00005753","Pharmacological and Behavioral Treatment of Insomnia","COMPLETED",
"R29HL056963","NCT00005757","Racial Variation in ACE--Genetic and Physiologic Bases","COMPLETED",
"M01RR000109","NCT00005765","Behavioral Economics of Human Drug Self-Administration","COMPLETED",
"M01RR000109","NCT00005766","Clinical Trial of Creatine in Amyotrophic Lateral Sclerosis","COMPLETED",
"M01RR000109","NCT00005768","Estrogen Modulation of Mood and Cognition Following Monoaminergic Depletion in Post-Menopausal Women","UNKNOWN STATUS",
"M01RR000109","NCT00005771","The Use of Real Time Ultrasound Feedback in Teaching Abdominal Hollowing Exercises","UNKNOWN STATUS",
"M01RR000039","NCT00005772","Whole-Body Cooling for Birth Asphyxia in Term Infants","COMPLETED",
"M01RR007122","NCT00005772","Whole-Body Cooling for Birth Asphyxia in Term Infants","COMPLETED",
"M01RR016587","NCT00005772","Whole-Body Cooling for Birth Asphyxia in Term Infants","COMPLETED",
"U10HD021373","NCT00005772","Whole-Body Cooling for Birth Asphyxia in Term Infants","COMPLETED",
"U10HD027853","NCT00005772","Whole-Body Cooling for Birth Asphyxia in Term Infants","COMPLETED",
"U10HD027880","NCT00005772","Whole-Body Cooling for Birth Asphyxia in Term Infants","COMPLETED",
"U10HD027904","NCT00005772","Whole-Body Cooling for Birth Asphyxia in Term Infants","COMPLETED",
"U10HD040521","NCT00005772","Whole-Body Cooling for Birth Asphyxia in Term Infants","COMPLETED",
"M01RR006022","NCT00005773","Early Inhaled Nitric Oxide for Respiratory Failure in Newborns","TERMINATED",
"U10HD021373","NCT00005773","Early Inhaled Nitric Oxide for Respiratory Failure in Newborns","TERMINATED",
"U10HD021397","NCT00005773","Early Inhaled Nitric Oxide for Respiratory Failure in Newborns","TERMINATED",
"U10HD034167","NCT00005773","Early Inhaled Nitric Oxide for Respiratory Failure in Newborns","TERMINATED",
"M01RR008084","NCT00005774","Early Surfactant to Reduce Use of Mechanical Breathing in Low Birth Weight Infants","TERMINATED",
"U10HD021364","NCT00005774","Early Surfactant to Reduce Use of Mechanical Breathing in Low Birth Weight Infants","TERMINATED",
"M01RR000070","NCT00005775","Glutamine Supplementation to Prevent Death or Infection in Extremely Premature Infants","COMPLETED",
"U10HD021385","NCT00005775","Glutamine Supplementation to Prevent Death or Infection in Extremely Premature Infants","COMPLETED",
"U10HD027856","NCT00005775","Glutamine Supplementation to Prevent Death or Infection in Extremely Premature Infants","COMPLETED",
"U10HD027881","NCT00005775","Glutamine Supplementation to Prevent Death or Infection in Extremely Premature Infants","COMPLETED",
"U10HD027904","NCT00005775","Glutamine Supplementation to Prevent Death or Infection in Extremely Premature Infants","COMPLETED",
"U10HD034216","NCT00005775","Glutamine Supplementation to Prevent Death or Infection in Extremely Premature Infants","COMPLETED",
"U10HD021373","NCT00005776","Inhaled Nitric Oxide Study for Respiratory Failure in Newborns","TERMINATED",
"U10HD027853","NCT00005776","Inhaled Nitric Oxide Study for Respiratory Failure in Newborns","TERMINATED",
"M01RR000070","NCT00005777","Minimal Breathing Support and Early Steroids to Prevent Chronic Lung Disease in Extremely Premature Infants (SAVE)","TERMINATED",
"M01RR000750","NCT00005777","Minimal Breathing Support and Early Steroids to Prevent Chronic Lung Disease in Extremely Premature Infants (SAVE)","TERMINATED",
"M01RR000997","NCT00005777","Minimal Breathing Support and Early Steroids to Prevent Chronic Lung Disease in Extremely Premature Infants (SAVE)","TERMINATED",
"U10HD027871","NCT00005777","Minimal Breathing Support and Early Steroids to Prevent Chronic Lung Disease in Extremely Premature Infants (SAVE)","TERMINATED",
"R01CA085748","NCT00005786","Arsenic Trioxide in Treating Patients With Relapsed or Refractory Lymphoma or Leukemia","TERMINATED",
"U01CA099168","NCT00005808","Photodynamic Therapy Using Lutetium Texaphyrin in Treating Patients With Cervical Intraepithelial Neoplasia","TERMINATED",
"U10CA031946","NCT00005810","Combination Chemotherapy Plus Filgrastim in Treating Patients With Stage IV Prostate Cancer That Has Not Responded to Hormone Therapy","COMPLETED",
"P30CA023108","NCT00005813","Bispecific Antibody Plus White Blood Cells in Treating Patients With Recurrent or Refractory Glioblastoma Multiforme","COMPLETED",
"U10CA027469","NCT00005830","Combination Chemotherapy Plus Radiation Therapy in Treating Patients With Stage III or Stage IV Endometrial Cancer","COMPLETED",
"U01CA062461","NCT00005845","Tipifarnib in Treating Patients With Myelodysplastic Syndromes","COMPLETED",
"M01RR000109","NCT00005923","The Effect of Estrogen and Progesterone Levels on Knee and Ankle Joint Laxity","UNKNOWN STATUS",
"P30CA015704","NCT00005940","Radiolabeled BC8 Antibody, Busulfan, Cyclophosphamide Followed by Donor Stem Cell Transplant in Treating Patients With Acute Myelogenous Leukemia in First Remission","COMPLETED",
"P30CA016672","NCT00005969","Liposomal Tretinoin in Treating Patients With Recurrent or Refractory Hodgkin's Disease","WITHDRAWN",
"U10CA025224","NCT00005970","Doxorubicin Hydrochloride, Cyclophosphamide, and Pacltaxel With or Without Trastuzumab in Treating Women With HER2-Positive Node-Positive or High-Risk Node-Negative Breast Cancer","COMPLETED",
"P01CA081403","NCT00005978","N99-01: Combination Chemotherapy, Radiation Therapy, and Stem Cell Transplantation in Treating Patients With Neuroblastoma","COMPLETED",
"U10CA032102","NCT00006020","S0010 506U78 in Treating Patients With Recurrent or Refractory Acute Lymphocytic Leukemia","COMPLETED",
"P30CA008748","NCT00006044","Testosterone in Treating Patients With Progressive Prostate Cancer That No Longer Responds to Hormone Therapy","COMPLETED",
"P30CA016672","NCT00006081","Combination Chemotherapy in Treating Patients With Unresectable Locally Advanced or Metastatic Stomach Cancer","COMPLETED",
"U10CA031946","NCT00006094","Oxaliplatin, Fluorouracil, and External-Beam Radiation Therapy Followed by Surgery in Treating Patients With Locally Advanced Cancer of the Rectum","COMPLETED",
"P30CA006516","NCT00006107","Chemotherapy and Radiation Therapy in Treating Patients With Stage III or Stage IV Head and Neck Cancer","COMPLETED",
"U10CA031946","NCT00006125","Combination Chemotherapy in Treating Patients With Relapsed or Refractory Intermediate-Grade or High-Grade Non-Hodgkin's Lymphoma","COMPLETED",
"R01DK049334","NCT00006157","Treatment of Functional Bowel Disorders","COMPLETED",
"M01RR000036","NCT00006195","Glucose Regulation During Risperidone and Olanzapine Treatment","UNKNOWN STATUS",
"U10AA011768","NCT00006206","COMBINE (Acamprosate/Naltrexone)","COMPLETED",
"U10AA011799","NCT00006206","COMBINE (Acamprosate/Naltrexone)","COMPLETED",
"U10CA027469","NCT00006227","Paclitaxel in Treating Patients With Ovarian Stromal Cancer","COMPLETED",
"U10CA180868","NCT00006227","Paclitaxel in Treating Patients With Ovarian Stromal Cancer","COMPLETED",
